Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Trình Dược Viên ETC Hàng Châu Âu Beeking Hà Nội và Tỉnh Lớn,Công Ty TNHH Beeking,Thương lượng,Hà Nội,30/11/2023,Nhân viên,Dược,"Trình Dược ETC, Pharmaceutical Healthcare, Phát Triển Khách Hàng, Phân Tích Thị Trường, Trình Dược Viên Kênh ETC",https://www.vietnamworks.com/trinh-duoc-vien-etc-hang-chau-au-beeking-ha-noi-va-tinh-lon-1709280-jv?source=searchResults&searchType=2&placement=1709280&sortBy=date
Tuyển Gấp - Quản Lý Vùng - Tốt Nghiệp Ngành Dược (Thu Nhập Từ 1500$ Trở Lên),Công Ty Cổ Phần Anvy,$1500 - $2000,Hà Nội,27/11/2023,Trưởng phòng,Dược,"Quản Lý Vùng, ETC, Dược, Quản Lý Trình Dược Viên",https://www.vietnamworks.com/tuyen-gap-quan-ly-vung-tot-nghiep-nganh-duoc-thu-nhap-tu-1500-tro-len--1708064-jv?source=searchResults&searchType=2&placement=1708064&sortBy=date
Trình Dược Viên OTC (Lào Cai - Hà Nam - Hà Tĩnh)Urgent job,Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Hà Nam,22/11/2023,Nhân viên,Dược,"Bán Hàng, Giới Thiệu Sản Phẩm, Chăm Sóc Khách Hàng, Quan Hệ Khách Hàng, Tư Vấn Khách Hàng",https://www.vietnamworks.com/trinh-duoc-vien-otc-lao-cai-ha-nam-ha-tinh--1717408-jv?source=searchResults&searchType=2&placement=1717408&sortBy=date
Trình Dược Viên OTC (Ninh Thuận - Bình Thuận - Khánh Hòa),Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Bình Thuận,15/12/2023,Nhân viên,Dược,"Trình Dược, Trình Dược OTC, Trình Dược Nhà Thuốc, Thuốc Tây, Dược",https://www.vietnamworks.com/trinh-duoc-vien-otc-ninh-thuan-binh-thuan-khanh-hoa-1713479-jv?source=searchResults&searchType=2&placement=1713479&sortBy=date
Trình Dược Viên OTC (Đắk Lắk - Thái Nguyên),Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Đắk Lắk,15/12/2023,Nhân viên,Dược,"Trình Dược, Trình Dược OTC, Dược, Trình Dược Nhà Thuốc, Thuốc Tây",https://www.vietnamworks.com/trinh-duoc-vien-otc-dak-lak-thai-nguyen-1713478-jv?source=searchResults&searchType=2&placement=1713478&sortBy=date
Trình Dược Viên OTC (Hà Nội - Hải Phòng - Đồng Nai)Urgent job,Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Hà Nội,22/11/2023,Nhân viên,Dược,"Bán Hàng, Trình Dược OTC, Giới Thiệu Sản Phẩm, Tư Vấn Sản Phẩm, Quản Trị Kinh Doanh",https://www.vietnamworks.com/trinh-duoc-vien-otc-ha-noi-hai-phong-dong-nai--1717350-jv?source=searchResults&searchType=2&placement=1717350&sortBy=date
Trình Dược Viên OTC (Bình Phước - Hồ Chí Minh - Cần Thơ),Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Bình Phước,15/12/2023,Nhân viên,Dược,"Bán Hàng, Giới Thiệu Sản Phẩm, Chăm Sóc Khách Hàng, Dược, Trình Dược OTC",https://www.vietnamworks.com/trinh-duoc-vien-otc-binh-phuoc-ho-chi-minh-can-tho-1713476-jv?source=searchResults&searchType=2&placement=1713476&sortBy=date
Trình Dược Viên OTC (Hải Dương - Nam Định - Hưng Yên),Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Hải Dương,15/12/2023,Nhân viên,Dược,"Bán Hàng, Chăm Sóc Khách Hàng, Quan Hệ Khách Hàng, Dược, Trình Dược OTC",https://www.vietnamworks.com/trinh-duoc-vien-otc-hai-duong-nam-dinh-hung-yen--1713473-jv?source=searchResults&searchType=2&placement=1713473&sortBy=date
Trình Dược Viên OTC (Quảng Ninh - Thanh Hóa - Bắc Giang)Urgent job,Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,Thương lượng,Bắc Giang,23/11/2023,Nhân viên,Dược,"Bán Hàng, Trình Dược OTC, Giới Thiệu Sản Phẩm, Dược, Trình Dược",https://www.vietnamworks.com/trinh-duoc-vien-otc-quang-ninh-thanh-hoa-bac-giang--1717349-jv?source=searchResults&searchType=2&placement=1717349&sortBy=date
Trưởng Phòng R&D Ngành DượcUrgent job,CTCP Tập Đoàn Phượng Hoàng Xanh A&A,$1200 - $1500,Hà Nội,27/11/2023,Trưởng phòng,Dược,"R&amp;D Dược Phẩm, Sản Xuất Dược, Tiếng Anh",https://www.vietnamworks.com/truong-phong-r-d-nganh-duoc-1718526-jv?source=searchResults&searchType=2&placement=1718526&sortBy=date
