Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Brand Manager (New Project),Golden Gate Trade & Service JSC,Thương lượng,Hà Nội,12/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Management, English, Brand Planning, Budget Management, Communication",https://www.vietnamworks.com/brand-manager-new-project-1724114-jv?source=searchResults&searchType=2&placement=1724114&sortBy=date
Assistant Brand Manager (New Project),Golden Gate Trade & Service JSC,Thương lượng,Hà Nội,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Giao Tiếp Tiếng Anh, Thuyết Trình &amp; Giao Tiếp, Markeitng, Nghiên Cứu, Marketing &amp; Branding",https://www.vietnamworks.com/assistant-brand-manager-new-project-1710313-jv?source=searchResults&searchType=2&placement=1710313&sortBy=date
Brand Manager Salary Upto 1000$,"Pure Group Production & Trading Co.,Ltd",Tới $1000,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Manager, Marketing, Tiếng Anh, Digital Marketing",https://www.vietnamworks.com/brand-manager-salary-upto-1000-1705365-jv?source=searchResults&searchType=2&placement=1705365&sortBy=date
PR & Brand Communication Manager,Kasikornbank Public Company Limited,Thương lượng,Hồ Chí Minh,27/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Management, Media Channels, Content Creating, Relationship Management, English",https://www.vietnamworks.com/pr-brand-communication-manager-1718616-jv?source=searchResults&searchType=2&placement=1718616&sortBy=date
Chuyên Viên Truyền Thông Thương Hiệu Tuyển Dụng - Employer Branding (Lương 12-20 Triệu/tháng),Công Ty Cổ Phần Thời Trang Yody,$600 - $900,Hà Nội,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Branding, Truyền Thông, Tiếng Anh, Truyền Thông Thương Hiệu, Nhân Sự",https://www.vietnamworks.com/chuyen-vien-truyen-thong-thuong-hieu-tuyen-dung-employer-branding-luong-12-20-trieu-thang-1711425-jv?source=searchResults&searchType=2&placement=1711425&sortBy=date
"[Golf Sport/ Luxury Brand] Key Account Manager (For Cambodia & Laos Market, Based In Cambodia)","Emers Vietnam Co., Ltd",Thương lượng,Quốc tế,14/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Management, Consumer Research, Business Development, Key Account Management",https://www.vietnamworks.com/golf-sport-luxury-brand-key-account-manager-for-cambodia-laos-market-based-in-cambodia-1724940-jv?source=searchResults&searchType=2&placement=1724940&sortBy=date
Brand & Marketing Specialist,"Văn Phòng Đại Diện Jomoo (Xiamen) Construction Materials CO., LTD Tại Thành Phố Hồ Chí Minh",Thương lượng,Hà Nội,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Marketing, Marketing Strategy, Social Media Campaign, Digital Marketing Tools, Branding Development",https://www.vietnamworks.com/brand-marketing-specialist--1723578-jv?source=searchResults&searchType=2&placement=1723578&sortBy=date
Chuyên Viên Marketing Và Phát Triển Thương Hiệu – Cv3 (Mã: Ptkd.mkt.cv3),Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Thương lượng,Hà Nội,20/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Channel, Branding, Phát Triển Thương Hiệu, Quản Lý Thương Hiệu, Hệ Thống Nhận Diện Thương Hiệu",https://www.vietnamworks.com/chuyen-vien-marketing-va-phat-trien-thuong-hieu-cv3-ma-ptkd-mkt-cv3--1716349-jv?source=searchResults&searchType=2&placement=1716349&sortBy=date
Brand Manager,JTI (Vietnam) Pte Ltd.,Thương lượng,Hồ Chí Minh,20/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Management, FMCG, Stakeholder Management, Portfolio Management",https://www.vietnamworks.com/brand-manager-557--1716262-jv?source=searchResults&searchType=2&placement=1716262&sortBy=date
Brand Manager,Golden Gate Trade & Service JSC,Thương lượng,Hà Nội,13/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, Brand Management, Khảo Sát Thị Trường, Chiến Lược Truyền Thông, Quản Lý Nhãn Hàng",https://www.vietnamworks.com/brand-manager-556-2--1724759-jv?source=searchResults&searchType=2&placement=1724759&sortBy=date
