Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Trade Marketing Specialist - At Least 6-Month Experience,ELSA Company Limited,$700 - $1000,Hồ Chí Minh,27/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, Marketing Channel, Campaign Marketing, Campaigns, Planning Marketing Strategy",https://www.vietnamworks.com/trade-marketing-specialist-at-least-6-month-experience-1718687-jv?source=searchResults&searchType=2&placement=1718937&sortBy=date
SEO ExecutiveUrgent job,Công Ty Cổ Phần Công Nghệ Giáo Dục Maas,Từ $300,Hồ Chí Minh,27/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, SEO, Marketing Online, SEO Planning, Social Media Marketing",https://www.vietnamworks.com/seo-executive--1718705-jv?source=searchResults&searchType=2&placement=1718955&sortBy=date
Marketing Assistant - Salary: 10-12Mil VND,TNHH Viessmann Viet Nam,$500 - $1000,Hồ Chí Minh,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Admin, Digital Marketing, Trade Marketing, Administration, SEO",https://www.vietnamworks.com/marketing-assistant-salary-10-12mil-vnd-1722826-jv?source=searchResults&searchType=2&placement=1723076&sortBy=date
Thực Tập Sinh – Social Content Marketing (IELTS),Công Ty TNHH Anh Ngữ Vietop,Thương lượng,Hồ Chí Minh,07/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Education, Canva Design, Content Fanpage, Content Creating",https://www.vietnamworks.com/thuc-tap-sinh-social-content-marketing-ielts-1722432-jv?source=searchResults&searchType=2&placement=1722682&sortBy=date
Chuyên Viên Digital Marketing,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Vtce,$600 - $700,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, SEO, Google Ads, Marketing Channel, Digital Marketing",https://www.vietnamworks.com/chuyen-vien-digital-marketing--1698792-jv?source=searchResults&searchType=2&placement=1699042&sortBy=date
Content Strategist,Công Ty TNHH Airr Labs (Việt Nam),Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Strategy, Social Media Campaign, Content Production, Content Marketing, Branding Campaign",https://www.vietnamworks.com/content-strategist--1722637-jv?source=searchResults&searchType=2&placement=1722887&sortBy=date
Chief Marketing Officer,Tech JDI Company Limited,Thương lượng,Hồ Chí Minh,27/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, IT Phần Mềm, Marketing Planning, Marketing Management, Digital Marketing Planning",https://www.vietnamworks.com/chief-marketing-officer--1718829-jv?source=searchResults&searchType=2&placement=1719079&sortBy=date
Sales Online Executive,"LG VINA Cosmetics Co., Ltd",Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sale Online, E-commerce",https://www.vietnamworks.com/sales-online-executive--1718839-jv?source=searchResults&searchType=2&placement=1719089&sortBy=date
Marketing Executive,Hoang An Nhien Group,Thương lượng,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Online Marketing, Social Media, Planning Marketing Strategy, Event, Digital Marketing",https://www.vietnamworks.com/marketing-executive--1721991-jv?source=searchResults&searchType=2&placement=1722241&sortBy=date
Admin Website,"Cellphones - Hệ Thống Bán Lẻ Điện Thoại Di Động, Laptop Và Các Sản Phẩm Công Nghệ Toàn Quốc",$415 - $620,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Admin Website, Quản Trị Nội Dung Website, Google Analytics, UI/UX, Quản Lý Web",https://www.vietnamworks.com/admin-website--1722379-jv?source=searchResults&searchType=2&placement=1722629&sortBy=date
Content Marketing Specialist (Ngành Tư Vấn Du Học),Đức Anh Educonnect,Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Education Programming, English, SEO Knowledge, Marketing Channel",https://www.vietnamworks.com/content-marketing-specialist-nganh-tu-van-du-hoc-1718641-jv?source=searchResults&searchType=2&placement=1718891&sortBy=date
Marketing Manager,Công Ty Cổ Phần Dịch Vụ Di Động Trực Tuyến (Ví MoMo),Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Communication, Marketing Planning, Marketing Campaign",https://www.vietnamworks.com/marketing-manager--1722733-jv?source=searchResults&searchType=2&placement=1722983&sortBy=date
Chuyên Viên Digital Marketing Đi Làm Ngay,Công Ty Cổ Phần Đầu Tư Phát Triển Bất Động Sản Kabisland,$300 - $400,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Online Marketing, Digital Marketing, Performance Marketing",https://www.vietnamworks.com/chuyen-vien-digital-marketing-di-lam-ngay-1722568-jv?source=searchResults&searchType=2&placement=1722818&sortBy=date
Google Ads (Dưới 1 Năm Kinh Nghiệm),Công Ty TNHH Đầu Tư Nam Thuận Phát,$500 - $600,Hà Nội,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Development, Marketing Trực Tuyến, Google Ads, Digital Marketing, Quảng Cáo",https://www.vietnamworks.com/google-ads-duoi-1-nam-kinh-nghiem-1722078-jv?source=searchResults&searchType=2&placement=1722328&sortBy=date
