Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Technical Writer,Công Ty TNHH MTV Giải Pháp Nexcel,Thương lượng,Hồ Chí Minh,04/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Translate Technical Document, Technical Document Writer, Materials Translation, Proofreading",https://www.vietnamworks.com/technical-writer--1709813-jv?source=searchResults&searchType=2&placement=1709813&sortBy=date
(Land Rover) Nhân Viên Content Marketing - Marketing Officer,Pon Phu Thai Mobility Group,Thương lượng,Hà Nội,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Tạo Nội Dung, Marketing Trực Tuyến",https://www.vietnamworks.com/land-rover-nhan-vien-content-marketing-marketing-officer-1715825-jv?source=searchResults&searchType=2&placement=1715825&sortBy=date
Nhân Viên Tiếng Trung,Văn Phòng Đại Diện Bigo Technology Pte. LTD Tại Thành Phố Hồ Chí Minh,Thương lượng,Hồ Chí Minh,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Content, Xây Dựng Chiến Lược Nội Dung, Cập Nhật Xu Hướng, Kế Hoạch Truyền Thông",https://www.vietnamworks.com/nhan-vien-tieng-trung--1721088-jv?source=searchResults&searchType=2&placement=1721088&sortBy=date
"Product Content Specialist (Lingerie Brand, US Market)",Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Thương lượng,Hà Nội,05/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Copywriting, Digital Marketing, Facebook Ads, Product Marketing, English",https://www.vietnamworks.com/product-content-specialist-lingerie-brand-us-market--1721881-jv?source=searchResults&searchType=2&placement=1721881&sortBy=date
Nhân Viên Content MKT + CSUrgent job,Công Ty TNHH SSP CORPORATION,$450 - $450,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Sales, Content Marketing, Báo Chí, SEO",https://www.vietnamworks.com/nhan-vien-content-mkt-cs-1-1725433-jv?source=searchResults&searchType=2&placement=1725433&sortBy=date
Content Marketing Executive,Công Ty Cổ Phần BM Windows,$500 - $1500,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Marketing, Content, Content Copy Writer, Media Plan",https://www.vietnamworks.com/content-marketing-executive--1720648-jv?source=searchResults&searchType=2&placement=1720648&sortBy=date
Nhân Viên Biên Tập Bài Tiếp Thị (Content Marketing),Công Ty TNHH Dược Tâm Đan,Thương lượng,Hồ Chí Minh,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Biên Tập Nội Dung, Pharmaceuticals Industry, Marketing Planning, Xây Dựng Nội Dung",https://www.vietnamworks.com/nhan-vien-bien-tap-bai-tiep-thi-content-marketing-1724949-jv?source=searchResults&searchType=2&placement=1724949&sortBy=date
Báo Vnexpress - Tuyển Dụng Phóng Viên,Báo Điện Tử VnExpress.Net,$500 - $1000,Hà Nội,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Editorial Writing, Content, Chụp Ảnh, Phỏng Vấn Nhân Vật",https://www.vietnamworks.com/bao-vnexpress-tuyen-dung-phong-vien--1725197-jv?source=searchResults&searchType=2&placement=1725197&sortBy=date
"Content Marketing Specialist (Retail, US Market)",Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Từ $490,Hà Nội,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Copywriting, Facebook Ads, Product Marketing, English, E Commerce",https://www.vietnamworks.com/content-marketing-specialist-retail-us-market-1724997-jv?source=searchResults&searchType=2&placement=1724997&sortBy=date
Copywriter Content Lead,Tam Son International Joint Stock Company,Thương lượng,Hồ Chí Minh,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Fashion, Copywriting, Leadership, Media Planning, Public Speaking",https://www.vietnamworks.com/copywriter-content-lead--1717617-jv?source=searchResults&searchType=2&placement=1717617&sortBy=date
Senior Influencer / KOC Marketing (Biết Tiếng Trung),Xing Yun Cloud Viet Nam,$700 - $850,Hồ Chí Minh,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Phát Triển Mạng Xã Hội, Tiếng Anh, Hiệu Chỉnh Video, Quay Dựng Video",https://www.vietnamworks.com/senior-influencer-koc-marketing-biet-tieng-trung-1706260-jv?source=searchResults&searchType=2&placement=1706260&sortBy=date
