Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Marketing Manager,Công Ty TNHH MB Nutrition,$900 - $1100,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Digital Marketing, Branding, Market Planning, Creative Thinking Skill",https://www.vietnamworks.com/marketing-manager--1725972-jv?source=searchResults&searchType=2&placement=1725972&sortBy=date
Senior Trade Marketing Manager FMCG (FMCG),Nabati,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Leader Trade Marketing, Ngành FMCG, Marketing Planning, Marketing Materials Strategy",https://www.vietnamworks.com/senior-trade-marketing-manager-fmcg-fmcg-1713950-jv?source=searchResults&searchType=2&placement=1713950&sortBy=date
Field Marketing Supervisor,Công Ty An Phúc Thịnh,Thương lượng,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Field Marketing, Trade Marketing, FMCG, Tobacco Industry, FMCG Market",https://www.vietnamworks.com/field-marketing-supervisor-1-1-1-1-1--1722739-jv?source=searchResults&searchType=2&placement=1722739&sortBy=date
Trade Marketing,Công Ty Cổ Phần Xây Dựng Hợp Lực,Thương lượng,Hà Nội,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Nghiên Cứu Thị Trường, Đánh Giá Đối Thủ, Phát Triển Chiến Lược, Quảng Bá Thương Hiệu, Báo Cáo Kinh Doanh",https://www.vietnamworks.com/trade-marketing--1725257-jv?source=searchResults&searchType=2&placement=1725257&sortBy=date
Trade Category Manager,Masan Consumer Holdings,Thương lượng,Hồ Chí Minh,06/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Trade Category Management, FMCG, Category Management, Channel Strategy",https://www.vietnamworks.com/trade-category-manager-11-1--1722262-jv?source=searchResults&searchType=2&placement=1722262&sortBy=date
"Product Content Specialist (Lingerie Brand, US Market)",Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Thương lượng,Hà Nội,05/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Copywriting, Digital Marketing, Facebook Ads, Product Marketing, English",https://www.vietnamworks.com/product-content-specialist-lingerie-brand-us-market--1721881-jv?source=searchResults&searchType=2&placement=1721881&sortBy=date
"Chuyên Viên Thiết Kế Đồ Họa Full Time (6,5 Tiếng/ngày) - 17 - 22 Triệu",Công Ty TNHH Thương Mại Quốc Tế BlueStars,$600 - $800,Hà Nội,24/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Thiết Kế Đồ Họa, Facebook Ads, Truyền Thông, Video Editing, Banner Design",https://www.vietnamworks.com/chuyen-vien-thiet-ke-do-hoa-full-time-6-5-tieng-ngay-17-22-trieu-1718259-jv?source=searchResults&searchType=2&placement=1718259&sortBy=date
Nhân Viên Content MKT + CSUrgent job,Công Ty TNHH SSP CORPORATION,$450 - $450,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Sales, Content Marketing, Báo Chí, SEO",https://www.vietnamworks.com/nhan-vien-content-mkt-cs-1-1725433-jv?source=searchResults&searchType=2&placement=1725433&sortBy=date
"Content Marketing Specialist (Retail, US Market)",Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Từ $490,Hà Nội,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Copywriting, Facebook Ads, Product Marketing, English, E Commerce",https://www.vietnamworks.com/content-marketing-specialist-retail-us-market-1724997-jv?source=searchResults&searchType=2&placement=1724997&sortBy=date
Senior Influencer / KOC Marketing (Biết Tiếng Trung),Xing Yun Cloud Viet Nam,$700 - $850,Hồ Chí Minh,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Phát Triển Mạng Xã Hội, Tiếng Anh, Hiệu Chỉnh Video, Quay Dựng Video",https://www.vietnamworks.com/senior-influencer-koc-marketing-biet-tieng-trung-1706260-jv?source=searchResults&searchType=2&placement=1706260&sortBy=date
Trưởng Phòng Marketing [Lương Cứng 35M + Thưởng Kinh Doanh],Công Ty TNHH G-Luxury,$1500 - $3000,Hà Nội,21/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Xây Dựng Chiến Lược, Phân Tích Thị Trường, Đánh Giá Đối Thủ, Branding",https://www.vietnamworks.com/truong-phong-marketing-luong-cung-35m-thuong-kinh-doanh-1704623-jv?source=searchResults&searchType=2&placement=1704623&sortBy=date
Subleader Customer Service,Công Ty Merchize,Thương lượng,Hà Nội,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tìm Kiếm Khách Hàng, Phát Triển Khách Hàng, Báo Cáo Tổng Kết, Phân Tích Thị Trường, Giao Tiếp",https://www.vietnamworks.com/subleader-customer-service-1711711-jv?source=searchResults&searchType=2&placement=1711711&sortBy=date
Trade Marketing Officer,Saint-Gobain Vietnam,Thương lượng,Hà Nội,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Event Coordination, Truyền Thông, Sales Workshops, Kinh Doanh",https://www.vietnamworks.com/trade-marketing-officer--1724054-jv?source=searchResults&searchType=2&placement=1724054&sortBy=date
Trade Marketing Executive,TNHH City Wisdom Vietnam,$400 - $625,Hồ Chí Minh,28/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Trade Marketing, Nghiên Cứu Thị Trường, FMCG",https://www.vietnamworks.com/trade-marketing-executive--1719115-jv?source=searchResults&searchType=2&placement=1719115&sortBy=date
Digital Planner Manager,Công Ty TNHH Adtek Technology,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Media Planning, Advertising Optimization, Display Network Ads, Campaign Management, Campaign Strategy Development",https://www.vietnamworks.com/digital-planner-manager-1716134-jv?source=searchResults&searchType=2&placement=1716134&sortBy=date
Digital Marketing Manager,Công Ty TNHH Adtek Technology,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Digital Advertising, Optimize Performance, Media Planning, Social Network Development",https://www.vietnamworks.com/digital-marketing-manager--1716132-jv?source=searchResults&searchType=2&placement=1716132&sortBy=date
Content Strategist,Công Ty TNHH Airr Labs (Việt Nam),Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Strategy, Social Media Campaign, Content Production, Content Marketing, Branding Campaign",https://www.vietnamworks.com/content-strategist--1722637-jv?source=searchResults&searchType=2&placement=1722637&sortBy=date
