Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
(Tiếng Trung) Chuyên Viên Truyền Thông | Upto 20Tr/tháng,Công Ty Cổ Phần Đầu Tư Thương Mại Dịch Vụ Diamond HOME,$870 - $1000,Hà Nội,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Marketing Trực Tuyến, Photoshop, Tiếng Trung, Thiết Kế Đồ Họa",https://www.vietnamworks.com/tieng-trung-chuyen-vien-truyen-thong-upto-20tr-thang-1713660-jv?source=searchResults&searchType=2&placement=1713660&sortBy=date
Nhân Viên Quản Lý Website,Công Ty TNHH Đầu Tư Xây Dựng Thương Mại Sky Group,$400 - $900,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Quản Trị Web, Quảng Cáo Truyền Thông, SEO Website, SEO Knowledge",https://www.vietnamworks.com/nhan-vien-quan-ly-website-12-1703351-jv?source=searchResults&searchType=2&placement=1703351&sortBy=date
Digital Marketing Team LeadUrgent job,VietnamWorks' Client,$2000 - $2500,Quốc tế,04/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","English Speaking Skill, Management, Marketing Creation, Digital Marketing",https://www.vietnamworks.com/digital-marketing-team-lead--1721644-jv?source=searchResults&searchType=2&placement=1721644&sortBy=date
Digital Marketing & SEO,MBS 87 Business & Travel,Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Online Marketing, Digital Marketing, Marketing Campaign, Google Adwords",https://www.vietnamworks.com/digital-marketing-seo--1708024-jv?source=searchResults&searchType=2&placement=1708024&sortBy=date
Brand Manager Salary Upto 1000$,"Pure Group Production & Trading Co.,Ltd",Tới $1000,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Manager, Marketing, Tiếng Anh, Digital Marketing",https://www.vietnamworks.com/brand-manager-salary-upto-1000-1705365-jv?source=searchResults&searchType=2&placement=1705365&sortBy=date
Digital Marketing/nhân Viên Quảng CáoUrgent job,Công Ty TNHH Dịch Vụ Tư Vấn Bát Giới,Thương lượng,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tiếng Trung, Digital Marketing, Quảng Cáo, Truyền Thông, Marketing Planning",https://www.vietnamworks.com/digital-marketing-nhan-vien-quang-cao--1715045-jv?source=searchResults&searchType=2&placement=1715045&sortBy=date
"Senior Officer, Digital Content Creator",Techcombank,Thương lượng,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Content Development, Digital Marketing, SEO Knowledge, Social Media Campaign, Photography",https://www.vietnamworks.com/senior-officer-digital-content-creator-1719916-jv?source=searchResults&searchType=2&placement=1719916&sortBy=date
Senior Digital Marketing (Up to 1.200$) - Mảng Thời Trang,Công Ty Cổ Phần Canifa,$500 - $1200,Hà Nội,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Facebook, Digital Performance, Fashion",https://www.vietnamworks.com/senior-digital-marketing-up-to-1-200-mang-thoi-trang--1722166-jv?source=searchResults&searchType=2&placement=1722166&sortBy=date
Digital Marketing JuniorUrgent job,"HDWEBSOFT Co., Ltd",Thương lượng,Hồ Chí Minh,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, SEO, SEM, Digital Marketing, Digital Marketing Tools",https://www.vietnamworks.com/digital-marketing-junior--1713357-jv?source=searchResults&searchType=2&placement=1713357&sortBy=date
Chuyên Viên Tiếp Thị Liên Kết (Affiliate MKT)Urgent job,Hệ Thống Siêu Thị Điện Máy HC,Thương lượng,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sàn Thương Mại Điện Tử, Quản Lý Booking, Affiliate Marketing, Livestream, Content",https://www.vietnamworks.com/chuyen-vien-tiep-thi-lien-ket-affiliate-mkt-1720101-jv?source=searchResults&searchType=2&placement=1720101&sortBy=date
Social Marketing,Công Ty Cổ Phần Xây Dựng Hợp Lực,Thương lượng,Hà Nội,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Marketing, Social Media Marketing, Sáng Tạo Nội Dung, Campaign Marketing, Insight Market Analysis",https://www.vietnamworks.com/social-marketing--1725226-jv?source=searchResults&searchType=2&placement=1725226&sortBy=date
Marketing,Công Ty Cổ Phần K-Beauty Worldwide Việt Nam,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Digital Marketing, SEO, Truyền Thông, Quảng Cáo",https://www.vietnamworks.com/marketing--1718698-jv?source=searchResults&searchType=2&placement=1718698&sortBy=date
Chuyên Viên Digital Marketing,Công Ty CP Bột Giặt Lix,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Facebook Ads, Youtube Advertising, Tiktok Ads, Marketing Analytics",https://www.vietnamworks.com/chuyen-vien-digital-marketing--1722272-jv?source=searchResults&searchType=2&placement=1722272&sortBy=date
Technical SEO Specialist,The Away Group Viet Nam LTD,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Digital Marketing, Website, Content, Search Engine Optimization",https://www.vietnamworks.com/technical-seo-specialist-1722080-jv?source=searchResults&searchType=2&placement=1722080&sortBy=date
Sale Specialist In Digital Marketing [Oversea Job In Kuala Lumpur],Tdcx Malaysia SDN. BHD,Từ $1000,Quốc tế,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sales Funnel Optimization, Sales Oriented, Marketing Trực Tuyến, Consulting",https://www.vietnamworks.com/sale-specialist-in-digital-marketing-oversea-job-in-kuala-lumpur-1721327-jv?source=searchResults&searchType=2&placement=1721327&sortBy=date
Digital Marketing Executive,RT Holdings,Thương lượng,Hồ Chí Minh,05/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Online Marketing, SEO, Social Media",https://www.vietnamworks.com/digital-marketing-executive-609--1721879-jv?source=searchResults&searchType=2&placement=1721879&sortBy=date
Marketing Specialist,Maple Labs,$700 - $1500,Hồ Chí Minh,24/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Google Ads, Facebook Marketing, Mobile Ads, Analytic Skill",https://www.vietnamworks.com/marketing-specialist--1705964-jv?source=searchResults&searchType=2&placement=1705964&sortBy=date
Multibrand Ecom Marcom Lead,Tam Son International Joint Stock Company,Thương lượng,Hà Nội,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","E-commerce, Digital Marketing, Data-Driven, Marketing Strategy, Customer Engagement",https://www.vietnamworks.com/multibrand-ecom-marcom-lead-1723380-jv?source=searchResults&searchType=2&placement=1723380&sortBy=date
Trưởng Nhóm/ Phó Phòng Digital Marketing (Làm Việc Tại Media Agency),Taj Việt Nam,Thương lượng,Hà Nội,08/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Truyền Thông, Media",https://www.vietnamworks.com/truong-nhom-pho-phong-digital-marketing-lam-viec-tai-media-agency-1723119-jv?source=searchResults&searchType=2&placement=1723119&sortBy=date
Chuyên Viên Marketing (Mức Lương Upto 40M),Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,$1000 - $1500,Hà Nội,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Lập Kế Hoạch Marketing, Quản Lý Ngân Sách, Truyền Thông, Agency Coordination",https://www.vietnamworks.com/chuyen-vien-marketing-muc-luong-upto-40m-1725696-jv?source=searchResults&searchType=2&placement=1725696&sortBy=date
Digital MarketingUrgent job,Công Ty TNHH Giáo Dục Chấn Thanh - Arkki,$800 - $1000,Hồ Chí Minh,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Giáo Dục, Content, Social Media, Marketing Management",https://www.vietnamworks.com/digital-marketing--1720829-jv?source=searchResults&searchType=2&placement=1720829&sortBy=date
Nhân Viên Digital MKTUrgent job,Công Ty TNHH SSP CORPORATION,$500 - $500,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, Digital Marketing, SEO Writing, Google Adwords, Phát Triển Thương Hiệu",https://www.vietnamworks.com/nhan-vien-digital-mkt--1692366-jv?source=searchResults&searchType=2&placement=1692366&sortBy=date
Nhân Viên Digital Marketing,Công Ty Cổ Phần Đầu Tư T&L Việt Nam,$1000 - $1800,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Facebook Ads, Tiktok Ads, Truyền Thông Thương Hiệu, Đề Xuất Phương Án, Digital Marketing",https://www.vietnamworks.com/nhan-vien-digital-marketing--1720371-jv?source=searchResults&searchType=2&placement=1720371&sortBy=date
Tuyển Dụng Quản Lý Sáng Tạo Nội Dung Tiktok,Công Ty Truyền Thông R - Media,$600 - $800,Hà Nội,30/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Marketing Trực Tuyến, Truyền Thông, Báo Chí, Tiktok Ads",https://www.vietnamworks.com/tuyen-dung-quan-ly-sang-tao-noi-dung-tiktok-1720774-jv?source=searchResults&searchType=2&placement=1720774&sortBy=date
Paid Marketing,Ibibo,Thương lượng,Hồ Chí Minh,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Marketing Campaign, SEM, SEO Campaigns",https://www.vietnamworks.com/paid-marketing-1717839-jv?source=searchResults&searchType=2&placement=1717839&sortBy=date
Nhân Viên Editor TiktokUrgent job,Công Ty Truyền Thông R - Media,$600 - $800,Hà Nội,30/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông Online, Tiktok Ads, Online Marketing, Editing, Manager",https://www.vietnamworks.com/nhan-vien-editor-tiktok-1720705-jv?source=searchResults&searchType=2&placement=1720705&sortBy=date
Nhân Viên Vận Hành Sàn TMĐT (Shopee- Tiktok),Công Ty Cổ Phần Đầu Tư T&L Việt Nam,Thương lượng,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Facebook Ads, Tiktok Ads, Truyền Thông Thương Hiệu, Đề Xuất Phương Án, Digital Marketing",https://www.vietnamworks.com/nhan-vien-van-hanh-san-tmdt-shopee-tiktok-1720572-jv?source=searchResults&searchType=2&placement=1720572&sortBy=date
SEO SpecialistUrgent job,Jio Health,Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Digital Marketing, Project Management, Technical Skill",https://www.vietnamworks.com/seo-specialist--1720642-jv?source=searchResults&searchType=2&placement=1720642&sortBy=date
Marketing Executive,Công Ty TNHH Becamex Tokyu,Thương lượng,Bình Dương,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Product Marketing, SEO, Google Ads, Social Media Marketing",https://www.vietnamworks.com/marketing-executive--1720510-jv?source=searchResults&searchType=2&placement=1720510&sortBy=date
Optimization & Growth Manager,Maison Retail Management International,Thương lượng,Hồ Chí Minh,14/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Campaign Marketing, Business Administration, Campaign Planning, Analytical Skill, Finance",https://www.vietnamworks.com/optimization-growth-manager-1712847-jv?source=searchResults&searchType=2&placement=1712847&sortBy=date
"Digital Marketing/ Nhân Viên Quảng Cáo (Facebook Ads, Google Ads) Upto 30 Triệu/tháng",Trường Cao Đẳng Nghề Công Nghệ Và Kỹ Thuật Trần Hưng Đạo,$650 - $1300,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo, Marketing Online, Google Ads, Phân Tích Dữ Liệu, Content Marketing",https://www.vietnamworks.com/digital-marketing-nhan-vien-quang-cao-facebook-ads-google-ads-upto-30-trieu-thang-1720144-jv?source=searchResults&searchType=2&placement=1720144&sortBy=date
Nhân Viên Truyền Thông Kỹ Thuật Số/ Digital Associate,Công Ty Cổ Phần Dược Phẩm Đạt Vi Phú ( DAVIPHARM ),Thương lượng,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Quảng Cáo, Truyền Thông Thương Hiệu, Thiết Kế, Marketing Trực Tuyến",https://www.vietnamworks.com/nhan-vien-truyen-thong-ky-thuat-so-digital-associate--1724660-jv?source=searchResults&searchType=2&placement=1724660&sortBy=date
Chuyên Viên Digital Marketing (Senior Digital Marketing),Công Ty CP Quảng Cáo Kỹ Thuật Số Việt (Vds),Thương lượng,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Google, Content Marketing, SEO, Social Media",https://www.vietnamworks.com/chuyen-vien-digital-marketing-senior-digital-marketing-1724421-jv?source=searchResults&searchType=2&placement=1724421&sortBy=date
