Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Tên công vi?c,Công ty,L??ng,??a ?i?m,Ngày tháng,C?p b?c,Ngành ngh?,K? n?ng,Link
Senior Research Executive,"Asia Plus Vietnam Co., Ltd. (Q&Me)",$700 - $1100,H? Chí Minh,18/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Quantitative Analyst, Qualitative Market Research, Market Research, Nghiên C?u Th? Tr??ng, Research",https://www.vietnamworks.com/senior-research-executive--1726347-jv?source=searchResults&searchType=2&placement=1726347&sortBy=date
Research AnalystUrgent job,Tractus Asia (Vietnam),Th??ng l??ng,H? Chí Minh,30/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Market Research, Financial Analysis, Trade Mission, Research Documents, Quantitative Analyst",https://www.vietnamworks.com/research-analyst--1720341-jv?source=searchResults&searchType=2&placement=1720341&sortBy=date
Market Research AnalystUrgent job,Công Ty TNHH ZIGExN VeNtura,Th??ng l??ng,H? Chí Minh,27/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Market Analysis, Synthesis, Market Research, Data Analysis, English",https://www.vietnamworks.com/market-research-analyst--1718536-jv?source=searchResults&searchType=2&placement=1718536&sortBy=date
Chuyên Gia Marketing,Ngân Hàng TMCP ??i Chúng Vi?t Nam,$1000 - $2000,Hà N?i,08/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Development, Ti?p Th?, Truy?n Thông",https://www.vietnamworks.com/chuyen-gia-marketing--1723105-jv?source=searchResults&searchType=2&placement=1723105&sortBy=date
Qu?n Lý Nhãn OTC (BM OTC),Công Ty C? Ph?n D??c Ph?m V?nh Phúc,Th??ng l??ng,Hà N?i,06/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông",Qu?n Lý S?n Ph?m,https://www.vietnamworks.com/quan-ly-nhan-otc-bm-otc-1722176-jv?source=searchResults&searchType=2&placement=1722176&sortBy=date
Nhân Viên Nghiên C?u Th? Tr??ng (?u Tiên Nam Có Th? Th??ng Xuyên ?i Công Tác),Công Ty C? Ph?n Công Ngh? Th?c Ph?m Châu Á (Micoem),Th??ng l??ng,Hà N?i,04/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Nghiên C?u Th? Tr??ng, FMCG, Phát Tri?n S?n Ph?m, Marketing Research, Phân Tích Th? Tr??ng",https://www.vietnamworks.com/nhan-vien-nghien-cuu-thi-truong-uu-tien-nam-co-the-thuong-xuyen-di-cong-tac-1711276-jv?source=searchResults&searchType=2&placement=1711276&sortBy=date
"Growth Marketing Leader (Salary Upto $1,300)Urgent job",Công Ty C? Ph?n Công Ngh? Secomus,$800 - $1300,Hà N?i,15/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Market Research, Team Management, Leadership, Customer Segmentation, Growth Marketing",https://www.vietnamworks.com/growth-marketing-leader-salary-upto-1-300--1725528-jv?source=searchResults&searchType=2&placement=1725528&sortBy=date
Research Data Analyst,Analytix Intelligence Company Ltd.,Th??ng l??ng,H? Chí Minh,14/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Data Analysis, SPSS, Quantitative Analysis, Project Management, Qualitative Research",https://www.vietnamworks.com/research-data-analyst-1-1724878-jv?source=searchResults&searchType=2&placement=1724878&sortBy=date
[Lotte Mall Westlake Hanoi] Marketing Planning Assistant,"LOTTE Properties Hanoi Co., Ltd",Th??ng l??ng,Hà N?i,01/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Retail Marketing, Business Administration, Promotional Marketing, Marketing Planning, English",https://www.vietnamworks.com/lotte-mall-westlake-hanoi-marketing-planning-assistant-1709687-jv?source=searchResults&searchType=2&placement=1709687&sortBy=date
