Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Khác,Link
Giám đốc Marketing,Công ty TNHH Bệnh viện Thẩm mỹ Á Âu,50 Tr - 80 Tr VND,Hồ Chí Minh,19/12/2023,Giám đốc,Tiếp thị / Marketing,5 - 7 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp đại học chuyên ngành Marketing, truyền thông.- Có ≥ 05 năm kinh nghiệm ở vị trí TP lĩnh vực Phẫu thuật thẩm mỹ, Thẩm mỹ nội khoa, Nha ...- Hiểu sâu sắc về Marketing, thương mại, quy định pháp luật liên quan đến lĩnh vực làm đẹp cũng như các quy định trong truyền thông;- Kiến thức tốt về marketing, branding, PR, event, media, digital, SEO, Google ads,…- Có khả năng làm việc độc lập và theo nhóm;- Sáng tạo, có khả năng quản lý team;- Chịu được áp lực công việc cao;- Thành thạo cá kỹ năng: Giao tiếp, thuyết trình, đàm phán, thương lượng.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: 50 Tr - 80 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-marketing.35BF37B4.html
Tiktok Content Creator - Freelancer,CareerBuilder,Cạnh tranh,Hồ Chí Minh,19/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Truyền hình / Báo chí / Biên tập",1 - 3 Năm,Thời vụ/ Nghề tự do,"YÊU CẦU CÔNG VIỆC- Có kỹ năng set up, quay và dựng video.- Sử dụng thành thạo các phầm mềm chỉnh sửa và dựng video.- Đã từng có kinh nghiệm sản xuất video các thể loại như: cung cấp thông tin, giải trí, hướng dẫn...- Cởi mở, giao tiếp tốt, có khả năng làm việc độc lập, kỹ năng làm việc nhóm và chủ động trong công việc.- Tư duy thẩm mỹ và hình ảnh tốt.- Phong cách làm việc chuyên nghiệp và có trách nhiệm.- Ngoại hình sáng là một điểm cộng.- Sẵn sàng chào đón các bạn sinh viên nếu thể hiện được mình có đam mê và kỹ năng.",Độ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/tiktok-content-creator-freelancer.35BF0863.html
Nhân viên Kinh doanh Logistics,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Cạnh tranh,Hà Nội,19/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Xuất nhập khẩu",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC1- Trình độ:- Tốt nghiệp Đại học (Chính quy) trở lên các chuyên ngành: kinh tế, thương mại- Ưu tiên ứng viên có kiến thức, hiểu biết về kinh tế, các kênh phân phối sản phẩm và network trong ngành Bưu chính Chuyển phát/Logistics2- Độ tuổi: Tuổi từ 25 đến 40 tuổi (Ưu tiên nam giới)3- Kỹ năng:+ Hiểu biết về dịch vụ Logistics và nghiệp vụ xuất – nhập khẩu.+ Ưu tiên ứng viên đã có kinh nghiệm làm kinh doanh dịch vụ Logistics, xuất nhập khẩu4- Yêu cầu bắt buộc:+ Ngoại ngữ: Thành thạo Tiếng Trung+ Tôn trọng và có tính kỷ luật trong công việc.","Bằng cấp: Đại họcPhụ cấp khác: - Chính sách phúc lợi khác: du lịch hàng năm, nghỉ lễ, phép theo quy định của Tổng công ty;Cơ hội huấn luyện:- Được trau dồi kiến thức khi được tìm hiểu và tham gia các dự án lớn;- Làm việc trong môi trường hiện đại, trẻ trung. Văn hóa Tổng công ty chuyên nghiệp và nhiều cơ hội phát triển.Độ tuổi: 25 - 40Phúc lợi:- Thu nhập: Thỏa thuận (tùy theo năng lực và kinh nghiệm của ứng viên)- Nâng lương định kỳ và đột xuất theo hiệu quả công việc;- Hưởng chính sách bảo hiểm theo quy định của Tổng công ty EMS- Thưởng hiệu quả công tác theo quý, năm theo quy định.Lương: Cạnh tranh",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-logistics.35BF122F.html
Marketing Manager (Ngành Thời Trang),Công ty TNHH Mỹ Phục - Eva De Eva,"1,500 - 2,000 USD",Hà Nội,19/12/2023,Quản lý,"Tiếp thị / Marketing , Dệt may / Da giày / Thời trang , Bán lẻ / Bán sỉ",Trên 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Nam/ Nữ/LGBT Tuổi từ 30 - 35- Tốt nghiệp Đại học trở lên chuyên ngành quản trị kinh doanh, kinh tế, marketing.- Gu thẩm mỹ tốt, ưu tiên ứng viên có thế mạnh về xây dựng - vận hành kênh tiktok, hoặc có thế mạnh Digital Marketing và sản xuất hình ảnh.- Có kinh nghiệm triển khai marketing đa kênh trên nền tảng online và triển khai CRM là một lợi thế.- Có kinh nghiệm hoạt động trong ngành marketing 05 năm trở lên, giữ vị trí Trưởng phòng Marketing trên 2 năm, quản lý team từ 10 nhân sự trở lên.- Ưu tiên ứng viên từng làm việc trong lĩnh vực thời trang, làm đẹp hoặc trong các tổ chức kinh doanh mặt hàng xa xỉ dành cho nữ.- Biết Tiếng Anh là một lợi thế.- Sáng tạo, nhạy bén, có tư duy tốt, khả năng chịu áp lực công việc cao.- Có kiến thức tổng quát về PR-Marketing, cập nhật các xu thế, ý tưởng mới đột phá.QUYỀN LỢI ỨNG VIÊN- Mức lương $1.500 - $2000- Môi trường làm việc chuyên nghiệp- Đảm bảo quyền lợi nghỉ phép năm, đóng BHXH, du lịch hàng năm, thưởng lễ Tết theo quy định của Công ty.Thời gian, địa điểm- Địa điểm làm việc: P404, Tầng 4, Tòa nhà GP Invest, Số 170 đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, HN- Thời gian làm việc Giờ hành chính trên VP: 8:30 – 12:30 và 13:30 – 17:30 (Từ Thứ 2 - Thứ 6)","Bằng cấp: Đại họcĐộ tuổi: 30 - 35Lương: 1,500 - 2,000 USD",https://careerbuilder.vn/vi/tim-viec-lam/marketing-manager-nganh-thoi-trang.35BF1237.html
Senior Account Executive/Key Account Executive,CÔNG TY TNHH XIN CHÀO BÁC SĨ,Cạnh tranh,Hồ Chí Minh,19/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Y tế / Chăm sóc sức khỏe",3 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCWho We Want●  Demonstrated project management skills to manage key project delivery. Understanding cross functional delivery and interdependencies●  Consultative approach to building client relationships. Able to extract insights and developing a true understanding of clients' future business needs and challenges●  To act as a point of escalation for all client queries across designated projects●  Highly proficient time management and organization skills●  High energy level●  Strong interpersonal and relationship building skills are required (both internally and externally) and theability to create and deliver presentations, manage new business proposals, and communicate like a boss.",Bằng cấp: Đại họcPhụ cấp khác:AllowanceKPI bonusThời gian thử việc: 2 monthsĐộ tuổi: Không giới hạn tuổiThời gian làm việc: 9:00-18:00 Mon-FriPhúc lợi: PVI InsuranceNgày nghỉ: 15 days annual leaveLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/senior-account-executive-key-account-executive.35BF20E3.html
SNS MARKETER/ DIGITAL MARKETER (TIẾNG ANH),"ARIZE CO., LTD",Cạnh tranh,Hồ Chí Minh,19/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",Trên 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCJob requirements• Graduated from university for 4 years or more, over 2 years experience in sns marketing perpectives • Experience in related industry (advertising company, agency company)• Good planning skills, ability to analyze data and insights• Communicate in English because you work directly with a Korean boss• Experience in managing sales channels via social networks*** Benefits:Salary negotiable according to ability and experiencePay social insurance, health insurance, unemployment insurance,... according to law, holidays, Tet,... according to State regulationsWork in a youthful environment (9x colleagues), multilingual (Korean - English - Vietnamese - Chinese)Computer provided Moving allowancesWorking hours: from Monday - Friday; 8:00 a.m - 6:00 p.mWorking Location: Arize Office: 67-69 Võ Nguyên Giáp, P. Thảo Điền, TP. Thủ Đức, TP. HCMPlease send CVs in English; Vietnamese CVs will not be accepted and interviews will not be scheduled.",Bằng cấp: Đại họcĐộ tuổi: 22 - 30Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/sns-marketer-digital-marketer-tieng-anh.35BF2D0B.html
Nhân Viên Sales/Sales Admin,CÔNG TY TNHH TOPBAND SMART ĐỒNG NAI (VIỆT NAM),14 Tr - 20 Tr VND,Đồng Nai,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Hành chính / Thư ký",2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC1. Trình độ học vấn: Tốt nghiệp Đại Học, Cao Đẳng, thành thạo tiếng Anh hoặc tiếng Trung.2. 2 năm kinh nghiệm trở lên , Ưu tiên những ứng viên có kinh nghiệm trong lĩnh vực điện tử.3. Có tinh thần trách nhiệm, ham học hỏi,trung thực, năng động, thái độ phù hợp, tinh thần tự giác cao.4. Có khả năng làm việc độc lập khai thác khách hàng  ,chăm sóc khách hàng ,mở rộng thị trường .5. Kỹ năng thuyết trình.6. Kỹ năng phân tích tổng hợp thông tin, dữ liệu.7. Kỹ năng giao tiếp8. Kỹ năng đàm phán, thương lượng.","Bằng cấp: Đại họcThời gian thử việc: thời gian thử việc 2 thángCơ hội huấn luyện: được đào tạo chuyên sâu nghiệp vụ nghềĐộ tuổi: 22 - 35Thời gian làm việc: làm giờ hành chánhĐồng nghiệp: đồng nghiệp thân thiện, môi trường làm việc thoải máiPhúc lợi: được hưởng đầy đủ các chế độ bảo hiểm của nhà nướcNgày nghỉ: 12 ngày phép nămLương: 14 Tr - 20 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-sales-admin.35BF376F.html
Nhân viên Marketing,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT ĐỨC MINH,10 Tr - 15 Tr VND,Hà Nội,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCKiến thức- Có kiến thức về marketing, thương mại.- Ưu tiên tốt nghiệp chuyên ngành thương mại, marketing- Tư duy sáng tạo, logic- Hiểu về quy trình phát triển sản phẩm- Có khả năng đọc và phân tích, tổng hợp số liệu. Chủ động trong công việc.Kinh nghiệm - Từ 1 năm làm việc ở vị trí tương đương hoặc có kinh nghiệm liên quan - Có khả biên soạn các tài liệu phân tích, truyền thông về sản phẩm- Có kinh nghiệm trợ lý nhãn hàng là 1 lợi thếKỹ năngKỹ năng lập kế hoạch và tổ chức công việc Kỹ năng tổng hợp, báo cáoKỹ năng giao tiếp.Thành thạo các kỹ năng office, công cụ marketing.5. Quyền lợi:•  Thu nhập: 10-15tr/tháng•  Thời gian làm việc: 8h-17h, nghỉ chủ nhật•  Ăn trưa miễn phí•  Chế độ BHXH: theo quy định công ty và pháp luật hiện hành•  Chế độ phúc lợi: sinh nhật, ốm đau, hiếu hỉ. Thưởng ngày lễ, ngày tết...•  Du lịch hàng năm• Các chế độ phúc lợi khác như sinh nhật, cưới hỏi, thưởng lễ tết….. theo quy định",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: 10 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-marketing.35BF3617.html
E-commerce Manager,Adtek,Cạnh tranh,Hồ Chí Minh,18/12/2023,Quản lý,"Bán lẻ / Bán sỉ , Tiếp thị trực tuyến , Tiếp thị / Marketing",Trên 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCQualification and experience:At least 3+ years of proven experience in the E-commerce industry (Lazada, Shopee...)English: conversational / business level.Computing: MS Office tools (especially Excel).Good understanding of E-commerce platformsCreative thinking and conversion optimization content E-commerce experienceThe ability to start working immediately is a big plus.Personal skills and attributes:Office skills: computing, emailing, using office equipment.Good task and time management.Having a supporting mind, and attention to detail.Ability to monitor, and maintain workload.Working time:9:00 – 18:30; Mon - Friday.Address:151 -155 Ben Van Don, Ward 6, District 4, Ho Chi Minh City.",Độ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/e-commerce-manager.35BEFF4E.html
Trưởng Phòng Marketing,Công ty CP Toget Việt Nam,Cạnh tranh,Đồng Nai,18/12/2023,Quản lý,"Tiếp thị / Marketing , Tư vấn , Quản lý điều hành",Trên 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCCó ít nhất 2 năm kinh nghiệm ở vị trí trưởng phòng Marketing, ưu tiên trong ngành thức ăn chăn nuôi.Có kinh nghiệm thiết lập plans, triển khai chiến lược marketing: branding, sản phẩm, phân phối, price,…trung hạn, ngắn hạn và cấp bách.Có thể đi công tác dài ngàyQuyền lợi được hưởng:Chế độ lương, thưởng hấp dẫnChế độ BHXH, BHYT, BHTN đầy đủ",Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-marketing.35BF0066.html
