Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Số lượng,Link
Nhân Viên Livestream TikTok - Ngành Mỹ Phẩm (Thu Nhập Đến 15 Triệu/Tháng) - Đi Làm Ngay,HỘ KINH DOANH PHƯƠNG AN HOUSE,8 - 15 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 05/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoNgành nghề khác,1 năm,Toàn thời gian,"- Ưu tiên đã có kinh nghiệm 1 năm livestream trên Tiktok, Facebook (hoặc các nền tảng khác)- Nữ giọng nhẹ nhàng dễ nghe không nói ngọng, không nói giọng địa phương.- Ngoại hình ưa nhìn, tự tin, hoạt ngôn trước ống kính.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-livestream-tiktok-nganh-my-pham-thu-nhap-den-15-trieu-thang-di-lam-ngay/1189567.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Trade Marketing Specialist ( Hải Phòng, Quảng Ninh, Thanh Hóa, Thừa Thiên Huế, Nghệ An, Quảng Bình, Quảng Trị, Hà Tĩnh )",Công ty TNHH Jollibee Việt Nam,Thoả thuận,Nghệ An & 7 nơi khác,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,Khách sạn / Nhà hàngMarketing / Truyền thông / Quảng cáoTổ chức sự kiện / Quà tặng,1 năm,Toàn thời gian,"Độ tuổi từ 24-30.Năng động, giao tiếp tốt, tinh thần trách nhiệm cao.Có khả năng thuyết phục, quan sát, phân tích và dự đoán tình hình.Kỹ năng sử dụng tốt: MS Office: Word, Excel, Power Point.Chịu áp lực, chấp nhận di chuyển/công tác.Kinh nghiệm:Tốt nghiệp Đại học/ Cao đẳng về Quản Trị Kinh Doanh, Quản Trị Marketing, hoặc các khối ngành tương đương.Có ít nhất 1 năm kinh nghiệm làm việc trong chuỗi nhà hàng hoặc các loại hình kinh doanh tương tự.Ưu tiên ứng viên đã từng có kinh nghiệm trong ngành FnB.",1 người,https://www.topcv.vn/viec-lam/trade-marketing-specialist-hai-phong-quang-ninh-thanh-hoa-thua-thien-hue-nghe-an-quang-binh-quang-tri-ha-tinh/1194961.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Chuyên Viên Digital Marketing (FMCG, FnB)",Công ty Cổ phần Những hạt cà phê nói chuyện (Twitter Beans Coffee),Trên 12 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoBán lẻ / bán sỉ,1 năm,Toàn thời gian,"Kinh nghiệm làm việc:- Có kinh nghiệm Digital Marketing và Brand là một lợi thế.- Có ít nhất 1 năm kinh nghiệm thực chiến (Không tính thời gian học/thử việc).Năng lực và kỹ năng:- Có sự sáng tạo, tư duy cởi mở, năng động, không ngại thử thách, linh hoạt giải quyết vấn đề.- Có tư duy hệ thống và khả năng tổng hợp, phân tích và đánh giá thông tin tốt.- Sử dụng thành thạo tin học văn phòng.- Biết sử dụng các phần mềm để thiết kế cơ bản (Power point, Canva, Capcut,...) là một lợi thế.",2 người,https://www.topcv.vn/viec-lam/chuyen-vien-digital-marketing-fmcg-fnb/1159949.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Nhân Viên Digital Marketing / Quảng Cáo - Nữ (Hải Phòng),CÔNG TY CỔ PHẦN TIẾP VẬN BẮC HẢI,10 - 12 triệu,Hải Phòng,Hạn nộp hồ sơ: 31/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoVận tải / Kho vậnLogistics,Dưới 1 năm,Toàn thời gian," Tiếng anh IELTS 6.0 hoặc TOEIC và các chứng chỉ tương đương Tốt nghiệp Đại học chuyên ngành Marketing, Quản trị kinh doanh. Có kỹ năng giao tiếp, thuyết phục, đàm phán thương lượng tốt, chăm chỉ, cẩn thận, chịu khó và có tinh thần ham học hỏi. Hiểu biết vững chắc về chuyên môn, công cụ marketing, quảng cáo, truyền thông  Thông thạo vi tính văn phòng : Word, Excel, PowerPoint. Biết sử dụng các phần mềm quản lý và viết email chuyên nghiệp.",3 người,https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing-quang-cao-nu-hai-phong/1194779.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Video Editor,CÔNG TY CỔ PHẦN MỤC TIÊU VIỆT,Trên 12 triệu,Hà Nội,Hạn nộp hồ sơ: 03/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnhThiết kế đồ họa,1 năm,Toàn thời gian,"Đam mê bóng đá và biết chơi bóng đá là một lợi thế lớn.Có kỹ năng Quay và Dựng tốt với Máy ảnh, Gimbal và Điện thoạiCó khả năng tư duy sáng tạo, phân tích nội dung, từ đó xây dựng kịch bản để truyền tải ý tưởng. 01 năm kinh nghiệm tại vị trí tương đương. Sử dụng thành thạo phần mềm CupCut, Adobe After Effect/ Premiere, Adobe Photoshop, Lightroom và các phần mềm chỉnh sửa Retouch ảnh.Ưu tiên có kinh nghiệm trong ngành.Có khả năng làm việc độc lập và làm việc nhóm. Chủ động, sáng tạo trong công việc, có khả năng chịu áp lực công việc cao.Có trách nhiệm với công việc.Nhanh nhẹn, linh hoạt ",1 người,https://www.topcv.vn/viec-lam/video-editor/1089056.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Chuyên Viên Thiết Kế Đồ Hoạ/ Designer ( Thu Nhập Upto 1,400 USD)",GEM MULTIMEDIA SDN. BHD,"1,300 - 1,400 USD",Nước Ngoài,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoThiết kế đồ họa,2 năm,Toàn thời gian,"- Tốt nghiệp đại học chuyên ngành thiết kế hoặc các khóa học chuyên về thiết kế.- Sử dụng thành thạo các phần mềm thiết kế: Adobe Photoshop, Adobe Flash, Adobe Fireworks, Adobe Illustrator, Adobe After Effects...- Có ít nhất 2 năm kinh nghiệm trong lĩnh vực thiết kế game.- Nắm vững game mechanics, game balancing, gameplay design, level design.- Hiểu rõ mô hình Monetization của các dòng game.- Có kiến thức tổng quan về thị trường Game nói chung cũng như nắm bắt tốt nhu cầu của người chơi game.- Am hiểu cơ bản về Typography, và màu sắc Pastel.- Có kiến thức tốt về UI/UX, XD, Figma- Có ý thức chủ động cập nhật xu hướng thiết kế, công nghệ mới để áp dụng vào công việc.- Yêu thích chơi game, cởi mở, tương tác và kết hợp công việc với đồng đội- Có khả năng tự nghiên cứu và cập nhật xu hướng thiết kế mới, học hỏi công nghệ mới để áp dụng vào công việc.- Tiếng Anh cơ bản trong giao tiếp.- Kỹ năng tư duy, sáng tạo và khả năng logic tốt.- Ham học hỏi, kiên trì, có cái nhìn tích cực về cuộc sống.- Có gu thẩm mỹ tốt, sáng tạo, cởi mở, thường xuyên cập nhật xu hướng thiết kế mới.- Có khả năng chịu áp lực về chất lượng và tiến độ công việc, có tinh thần trách nhiệm cao.- Có khả năng sắp xếp công việc, đảm bảo deadline, có tính tổ chức, có thể làm việc được trong điều kiện áp lực cao khi triển khai nhiều dự án cùng lúc.- Có thái độ tích cực, học hỏi nhanh, không ngại khó, không ngại thay đổi. Khả năng làm việc độc lập và làm việc nhóm tốt.- Có tính cẩn thận, tỉ mỉ, chi tiết, có khả năng tập trung tư duy sáng tạo, phân tích nội dung thiết kế, chuyển tải ý tưởng và giao tiếp tốt.",50 người,https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-do-hoa-designer-thu-nhap-upto-1-400-usd/1195584.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Nhân Viên Thiết Kế - Designer (Quận Bình Tân),CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI SẢN XUẤT NÔNG NGHIỆP THẮNG LỢI,6 - 8 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 11/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoThiết kế đồ họa,Dưới 1 năm,Toàn thời gian,"• Tốt nghiệp Trung cấp, Cao đẳng chuyên ngành thiết kế đồ họa hoặc các ngành nghề liên quan• Thành Thạo : Adobe Illustrator (Ai), Adobe Photoshop (Ps), Adobe Indesign (In), Corel trung cấp trở lên• Chăm chỉ, mong muốn làm việc gắn bó lâu dài, có ý tiến thủ. Nắm bắt nhanh công việc.• Có thể chịu đựng áp lực khi làm việc ở cường độ cao, đúng deadline.• Có khả năng làm việc độc lập và làm việc nhóm.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-quan-binh-tan/1193143.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Visual Merchandiser (Bán Lẻ),Công ty TNHH Kohnan Việt Nam,20 - 30 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 31/01/2024,Trưởng/Phó phòng,Marketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnhThiết kế đồ họa,3 năm,Toàn thời gian,"University degree in related field Experience from 2 years in similar fields. Experience working in retails chain is an advantage. Familiar with design software (Photoshop, Illustrator, Corel,...) Be able to design and produce POSM. Creative and logical thinking, have good sense of decoration English: good (work directly with foreign Manager) Problem-solving skill, communication skill, negotiation skill ",1 người,https://www.topcv.vn/viec-lam/visual-merchandiser-ban-le/1198817.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Trưởng Bộ Phận Kinh Doanh - Marketing (Lương 15 - 20 Triệu),CÔNG TY TNHH NHÀ HÀNG TUNG DINING,15 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 12/01/2024,Trưởng/Phó phòng,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoThiết kế đồ họa,2 năm,Toàn thời gian,"Tốt nghiệp Đại học các ngành có liên quan Sales, Marketing, Quản trị kinh doanh hoặc tương đương.Kinh nghiệm ít nhất 03 năm marketing hoặc ít nhất 02 năm ở vị trí tương đương.Có kiến thức Marketing dày dạn, bài bản - Có khả năng phân tích thị trường, tư duy nhạy bén để tìm ra nhiều cách marketing khác nhau mang lại hiệu quả cho việc quảng bá sản phẩm;Có kinh nghiệm xây dựng chiến lược marketing ở mọi khía cạnh (branding, sản phẩm);Thành thạo tiếng Anh;Có kỹ năng làm việc với các phần mềm văn phòng như Word, Excel, Powerpoint...Có kỹ năng chụp ảnh và sử dụng được phần mềm Illustrator/ Photoshop là một lợi thế.Thiết lập và giữ gìn các mối quan hệ tốt.Có khả năng làm việc độc lập và làm việc theo nhóm.",1 người,https://www.topcv.vn/viec-lam/truong-bo-phan-kinh-doanh-marketing-luong-15-20-trieu/1193966.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Senior Content,CÔNG TY CỔ PHẦN PHÁT HÀNH SÁCH THÀNH PHỐ HỒ CHÍ MINH - FAHASA,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 15/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"● Có kinh nghiệm ít nhất từ 2 năm tại vị trí Seinor Content ● Có kiến thức, kinh nghiệm về Marketing và Branding. Nắm vững các nguyên lý cơ bản trong tiếp thị và quảng cáo. ● Có kỹ năng quản lý, tự học tốt. ● Có kinh nghiệm làm việc tại các PERFORMANCE AGENCIES hoặc sàn TMDT là lợi thế",1 người,https://www.topcv.vn/viec-lam/senior-content/1196093.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
