Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
Nhân Viên Chỉnh Sửa Video Và Thiết Kế Hình Ảnh,Công Ty Cổ Phần Lai Phú,Cao đẳng,10 - 15 triệu,TP.HCM,21/12/2023,Chuyên viên- nhân viên,Marketing/Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo,1 năm,Toàn thời gian cố định,3,"- Trình độ chuyên môn: Tốt nghiệp Đại học/Cao đẳng, ưu tiên chuyên ngành: Thiết kế đồ họa, Truyền thông.- Thành thạo các phần mềm edit video như Capcut, After Effect, Premiere …, các chuẩn export file.- Sử dụng cơ bản các phần mềm thiết kế đồ họa như: Photoshop, AI,…- Có khiếu thẩm mỹ, khả năng cảm thụ âm thanh và hình ảnh tốt, tư duy thiết kế và khả năng sáng tạo.",https://vieclam24h.vn/marketing/nhan-vien-chinh-sua-video-va-thiet-ke-hinh-anh-c12p122id200293783.
Nhân Viên Digital Marketing - Tại Cần Thơ (Đi Làm Ngay),Công Ty Cổ Phần Đại Việt Hương,Đại học,8 - 10 triệu,Cần Thơ,18/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"- Tốt nghiệp Đại học chuyên ngành Marketing và các ngành liên quan Marketing.Ứng viên Chưa có kinh nghiệm sẽ được Công ty hướng dẫn và đào tạo.- Thành thạo các phần mềm văn phòng.- Có khả năng làm việc độc lập và theo nhóm.- Trung thực, chăm chỉ, chịu được áp lực công việc.- Hiểu việc và nắm bắt công việc nhanh.",https://vieclam24h.vn/marketing/nhan-vien-digital-marketing-tai-can-tho-di-lam-ngay-c12p131id200293533.
Key Account Management,Công Ty Cổ Phần Hasaki Beauty & Clinic,Đại học,15 - 30 triệu,TP.HCM,15/12/2023,Quản lý cấp trung,IT Phần mềm/Marketing/Thiết kế - Sáng tạo nghệ thuật,1 năm,Toàn thời gian cố định,2,"-         Tốt nghiệp Đại học trở lên chuyên ngành liên quan (quản trị, marketing, sales, ecomerce…)-         Có ít nhất 01 năm kinh nghiệm ở vị trí tương đương ở các nhãn hàng, ưu tiên ứng viên có kinh nghiệm ở các nhãn hàng làm đẹp/hàng tiêu dùng-         Tư duy logic, rõ ràng-         Khả năng định hướng, ra quyết định-         Kỹ năng phân tích và giải quyết vấn đề tốt.-         Kỹ năng thương lượng, giao tiếp tốt-         Có tính cam kết-         Liêm chính-         Chịu được áp lực cao",https://vieclam24h.vn/it-phan-mem/key-account-management-c8p122id200293052.
Lazada Platform Operation Executive (Nhân Viên Vận Hành Sàn Tmđt Lazada Biết Tiếng Hoa),Công Ty TNHH Công Nghệ Pandapon,Đại học,8 - 15 triệu,TP.HCM,15/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Biên phiên dịch,1 năm,Toàn thời gian cố định,10,"1. Tốt nghiệp đại học chuyên ngành trở lên, có một năm kinh nghiệm vận hành sàn TMĐT, nắm rõ các quy trình đăng bán sản phẩm trên sàn TMĐT.2. Thành thật, đáng tin cậy, có tính nhẫn nại trong công việc và đàm phán, giải quyết vấn đề khách quan minh bạch3. Thích nghi tốt với nhịp độ làm việc trong ngành TMĐT, khả năng trình bày tốt, làm việc chăm chỉ, tỉ mỉ và trách nhiệm.4. Yêu cầu ngoại ngữ: Tiếng Hoa",https://vieclam24h.vn/ban-hang-kinh-doanh/lazada-platform-operation-executive-nhan-vien-van-hanh-san-tmdt-lazada-biet-tieng-hoa-c13p122id200292939.
Nhân Viên Marketing - Tại HCM (Đi Làm Ngay),Công Ty Cổ Phần Bánh Givral,Cao đẳng,10 - 25 triệu,TP.HCM,12/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Thiết kế - Sáng tạo nghệ thuật,2 năm,Toàn thời gian cố định,2,"- Khả năng sáng tạo, tư duy logic, tư duy thẩm mỹ và lên ý tưởng tốt- Kỹ năng viết và trình bày ý tưởng vững chắc- Sử dụng thành thạo tin học văn phòng (Word, Excel, PowerPoint,…)- Kỹ năng làm việc nhóm tốt, chịu được áp lực công việc- Đáp ứng đúng tiến độ công việc.",https://vieclam24h.vn/marketing/nhan-vien-marketing-tai-hcm-di-lam-ngay-c12p122id200292045.
Nhân Viên Content Marketing - Đi Làm Ngay,Công Ty TNHH Sản Xuất Và Kinh Doanh Minh Khang,Cao đẳng,12 - 14 triệu,TP.HCM,12/12/2023,Chuyên viên- nhân viên,Marketing/Truyền hình - Báo chí - Biên tập/Thông tin - Truyền thông - Quảng cáo,1 năm,Toàn thời gian cố định,2,"Tốt nghiệp chuyên ngành liên quan như: Marketing, báo chí, truyền thông.Có kiến thức về mạng xã hội và kiến thức chung về Quản Lý Fanpage, Seeding là một lợi thế hoặc biết sử dụng photoshop, canva. Hiểu về các yếu tố ảnh hưởng đến thứ hạng website và các thuật toán công cụ tìm kiếmCó khả năng viết lách tốt, sáng tạoCó kinh nghiệm trên 01 nămChăm chỉ, sáng tạo, ham học hỏi, có khả năng chịu áp lực công việc cao.Các kỹ năng: khai thác chủ đề, lên ý tưởng, kịch bản chi tiết, đọc hiểu, phân loại và chọn lọc dữ liệu.Yêu cầu bạn nữ Độ tuổi: 22 - 30Số lượng: 2 bạn",https://vieclam24h.vn/marketing/nhan-vien-content-marketing-di-lam-ngay-c12p122id200292032.
Nhân Viên Truyền Thông,Công Ty TNHH Yến Sào Asiannest,Đại học,10 - 20 triệu,Bình Dương,12/12/2023,Chuyên viên- nhân viên,Marketing/IT Phần mềm/Truyền hình - Báo chí - Biên tập,1 năm,Toàn thời gian cố định,5,"- Nam/Nữ: 22- 35 tuổi- Kinh nghiệm >1 năm ở vị trí tương đương- Tốt nghiệp chuyên ngành: Marketing, truyền thông, báo chí, biên tập…- Nhanh nhẹn, có khả năng giao tiếp, và làm việc độc lập.",https://vieclam24h.vn/marketing/nhan-vien-truyen-thong-c12p119id200291481.
Marketing Event & Entertainment Executive,Clay Saigon - Công Ty TNHH Restaurant Hebe,Đại học,12 - 16 triệu,TP.HCM,08/12/2023,Chuyên viên- nhân viên,Marketing/Khách sạn - Nhà hàng - Du lịch,2 năm,Toàn thời gian cố định,2,● Proven experience in planning and executing successful marketing events.● Strong organizational and project management skills.● Excellent communication and interpersonal abilities.● Creative thinking and problem-solving skills.● Familiarity with hospitality industry trends is a plus. ,https://vieclam24h.vn/marketing/marketing-event-entertainment-executive-c12p122id200291072.
Trưởng Nhóm Marketing,Công Ty TNHH Hưng Lê Hl,Cao đẳng,15 - 30 triệu,TP.HCM,08/12/2023,Quản lý nhóm- giám sát,Marketing/Quản lý dự án,3 năm,Toàn thời gian cố định,1,"• Ứng viên phải có kinh nghiệm mạnh về Chạy Ads• Có kinh nghiệm tối thiểu 3 năm trong lĩnh vực Marketing.• Tốt nghiệp Đại học, cao đẳng chuyên ngành Marketing hoặc am hiểu và có kinh nghiệm về Marketing• Có kỹ năng quản lý nhóm, xây dựng truyền thông cho các sự kiện On/Offline của công ty.• Nắm rõ kiến thức về SEO, Facebook Ads, Google Ads.• Kỹ năng lên kế hoạch, trình bày.• Tỉ mỉ, cẩn thận, trung thực, tác phong làm việc kỷ luật, chuyên nghiệp.• Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực mỹ phẩm.• Thành thạo kĩ năng giao tiếp và đàm phán; Tạo dựng và duy trì mối quan hệ; Quản lí thời gian và lên kế hoạch.",https://vieclam24h.vn/marketing/truong-nhom-marketing-c12p122id200290970.
Nhân Viên Nữ Marketing Làm Việc Quận 7,Công Ty TNHH Gobchange Dodoog,Cao đẳng,10 - 13 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Thực phẩm - Đồ uống,Dưới 1 năm,Toàn thời gian cố định,2,"- Chụp ảnh món ăn tốt- Có thể chỉnh sửa/thiết kế hình ảnh dùng để quảng bá (yêu cầu cơ bản)- Am hiểu về quảng cáo, nắm bắt tốt xu hướng- Nữ, độ tuổi dưới 27, tốt nghiệp chuyên ngành về Marketing/Truyền thông, trình độ cao đẳng trở lên.**Nếu tốt nghiệp Quản trị kinh doanh ứng viên vui lòng chứng minh kinh nghiệm làm việc đã có.- Thời gian làm việc: từ 10h – 17h (thứ 2,3,4,5,6,7)- Làm việc tại: Số 43-45 Cao Triều Phát, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",https://vieclam24h.vn/marketing/nhan-vien-nu-marketing-lam-viec-quan-7-c12p122id200287106.
