Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Link
thực tập sinh content marketing full-time 2023,công ty seoreal agency ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊN- Tốt nghiệp, hoặc sinh viên năm cuối ngành Marketing, Quản trị kinh doanh, Kinh tế và các ngành có liên quan.- Chăm chỉ, chủ động, trách nhiệm với công việc và mục tiêu được giao- Nắm bắt thông tin nhanh, tư duy nhanh nhạy & ham học hỏi- Có hiểu biết về Capcut, Canva, sử dụng thành thạo điện thoại chức năng chụp ảnh, quay phim",https://ybox.vn/tuyen-dung/hcm-cong-ty-seoreal-agency-tuyen-dung-thuc-tap-sinh-content-marketing-full-time-2023-6583f2538c82e353ee400dcf
"thực tập sinh maketing, phát triển thị trường full-time 2023",công ty aa - global group ,Không lương,Khác; Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế,HẠN CUỐI: 31/1/2024,"Marketing, Truyền Thông, PR",0,Online; Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNYÊU CẦU ỨNG VIÊNSuy nghĩ nhanh và hành động nhanh, ưu tiên hành động hơn nghiên cứu.Chăm chỉ, trách nhiệm, kỷ luật, sẵn sàng hỗ trợ và sẵn sàng học hỏi/nghiên cứu các vấn đề mới trong công việc.Có thể sắp xếp thời gian làm việc theo ca (mỗi ca ít nhất 2 giờ) vào khung giờ tự chọn linh hoạt với lịch trình lịch trình cá nhân như sau: 7:30 AM tới 11:30 AM; 13:00 PM tới 17:00 PM hoặc 22:00 PM đến 24:00 PM các ngày trong tuần từ thứ 2 tới thứ 7.Có laptop/PC cá nhân để làm việc online. Có thể làm việc Online từ xa với team.",https://ybox.vn/tuyen-dung/online-cong-ty-aa-global-group-tuyen-dung-thuc-tap-sinh-maketing-phat-trien-thi-truong-full-time-2023-6583f04b67ff995263d72072
part-time/ full-time: lễ tân & nhân viên bán hàng 2023 (không yêu cầu kinh nghiệm),công ty thời trang ecochic việt nam ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 27/12/2023,"Bán hàng (Sales); Hành chính, Nhân sự; Khác",0,Bán thời gian,"YÊU CẦU ỨNG VIÊNỨng viên Nữ, ngoại hình ưa nhìnGiao tiếp lưu loát, có kĩ năng chốt sales, up sales là một lợi thế lớnSiêng năng, tỉ mỉ, cẩn thận, trung thựcNhanh nhẹn, tinh tế.",https://ybox.vn/tuyen-dung/hn-cong-ty-thoi-trang-ecochic-viet-nam-tuyen-dung-part-time-full-time-le-tan-and-nhan-vien-ban-hang-2023-khong-yeu-cau-kinh-nghiem-6582b5964eecae7e1fb47932
cộng tác viên content full-time 2023,công ty truyền thông uno ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 20/1/2024,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian; Khác,"YÊU CẦU ỨNG VIÊN1. Có thể làm việc full-time tại công ty2. Ưu tiên biết Planning Content và triển khai Content Direction.3. Có ít nhất 1 năm kinh nghiệm ở vị trí Content Marketing hoặc các vị trí tương tự.4. Hiểu biết về các kênh tiếp thị về đối tượng mục tiêu, ưu và nhược điểm cũng như các phương pháp hay nhất để sản xuất nội dung có giá trị cho từng kênh (framework, Content Direction,...)5. Kỹ năng viết tốt cho nhiều hình thức đa dạng như bài đăng trên mạng xã hội, kịch bản video, bài báo, học thuật6. Kỹ năng quản lý dự án tốt, có khả năng quản lý nhiều dự án cùng lúc ",https://ybox.vn/tuyen-dung/hcm-cong-ty-truyen-thong-uno-tuyen-dung-cong-tac-vien-content-full-time-2023-6583bf4da7d8b445a6944a87
"full-time: zepeto global content intern, graphic designer intern & intern video editor (tiktok) 2023 (mức lương: 3,000,000 vnđ/ tháng)",ứng dụng chụp ảnh snow việt nam ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 26/12/2023,"Marketing, Truyền Thông, PR; Báo chí, Truyền hình",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNWork experience in SNS (TikTok, Facebook, etc.) and design (Visual & Copy) creation is preferred.Intermediate skills level and knowledge in content-creating software (Adobe After Effect, Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro) equivalent is essential.Diligence to hit deadlines.Ability to stay ahead of visual and social trends, and quickly adapt to a constantly evolving digital landscape.Intermediate-level English skill for communication is preferred.Able to communicate smoothly with managers in various departments.Preferential treatment:Experienced in short-form content planning and production.Experience operating a YouTube channel or TikTok account (Personal, official SNS, etc.).Having a portfolio is very advantageous.Ability to use Unity and related experience.Flexible to changes and find solutions.",https://ybox.vn/tuyen-dung/hcm-ung-dung-chup-anh-snow-viet-nam-tuyen-dung-full-time-zepeto-global-content-intern-graphic-designer-intern-and-intern-video-editor-tiktok-2023-muc-luong-3-000-000-vnd-thang-6577dc97088aa922c5b49ded
thực tập sinh nhân sự full-time 2023,công ty thời trang và mỹ phẩm acfc ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 14/1/2024,"Hành chính, Nhân sự",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNBe a final-year student or recent graduate of a university majoring in Human Resources or related fields.Have good English language skills.Proficiency in office software is required.Familiarity with design software such as Canva, Photoshop, Illustrator, etc. is an advantage.Possess qualities such as honesty, sociability, and attentiveness.Be agile, creative, and responsible in the workplace.",https://ybox.vn/tuyen-dung/hcm-cong-ty-thoi-trang-va-my-pham-acfc-tuyen-dung-thuc-tap-sinh-nhan-su-full-time-2023-6583bc8619e03d45485e6b09
thực tập sinh design full-time 2023,công ty adsagency ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 13/1/2024,Thiết kế,0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Có laptop cá nhân để làm việc- Có kinh nghiệm design mảng social post- Biết sử dụng các công cụ chỉnh sửa ảnh như: Ai, Ps,...- Chăm chỉ, có tinh thần cầu tiến",https://ybox.vn/tuyen-dung/hcm-cong-ty-adsagency-tuyen-dung-thuc-tap-sinh-design-full-time-2023-65839bc20d00a83ced24228e
"thực tập sinh part-time: ""lãnh đạo tương lai ybox manager trainee 2023"" cho sinh viên từ năm thứ nhất (tuyển quanh năm): biên tập, truyền thông , vận hành, hr, digital marketing, đối ngoại, tổ chức sự kiện, graphic design, telesales, & lập trình viên full-time",ybox.vn ,Không lương,Nước Ngoài; Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Khác,HẠN CUỐI: 31/12/2030,"Marketing, Truyền Thông, PR; Báo chí, Truyền hình; Khác",0,Online; Bán thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNYêu thích YBOX, mong muốn đóng góp tri thức cho cộng đồng;Có thể sắp xếp thời gian làm việc part-time;Có laptop cá nhân;Chăm chỉ, trách nhiệm.Những thực tập sinh ứng tuyển sẽ được xem xét cho vị trí Member (thành viên) hoặc Leader Tập Sự (quản lý), vui lòng ghi rõ vị trí bạn mong muốn xem xét trong phần Thư ứng tuyển (Cover letter) khi bấm nút ứng tuyển online. Nếu không được chọn cho vị trí Leader thì ứng viên sẽ tự động được xem xét cho vị trí Member mà không cần ứng tuyển 2 lần. ",https://ybox.vn/tuyen-dung/toan-cau-ybox-vn-tuyen-dung-thuc-tap-sinh-part-time-lanh-dao-tuong-lai-ybox-manager-trainee-2023-cho-sinh-vien-tu-nam-thu-nhat-tuyen-quanh-nam-bien-tap-truyen-thong-van-hanh-hr-digital-marketing-doi-ngoai-to-chuc-su-kien-graphic-design-telesales-and-lap-trinh-vien-full-time-62b146a3f6e69823ee04941c
thực tập sinh content full-time 2023,công ty smilee việt nam ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 7/1/2024,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNTư duy sáng tạo nội dung tốt, không ngừng tìm tòi và update trendCó thể full-time, có laptopTiêu chuẩn cao, tỉ mỉ, chi tiết, cẩn trọngKỹ năng linh hoạt xử lý tình huốngQuyết liệt và follow mục tiêu đến cùng, không bỏ cuộcKhông ngại thử thách mới, thông thạo capcut ",https://ybox.vn/tuyen-dung/hn-cong-ty-smilee-viet-nam-tuyen-dung-thuc-tap-sinh-content-full-time-2023-6583a888c32e064130617fe7
"part-time/ full-time: thực tập sinh tâm lý, trợ lý chương trình, kế toán hành chính, cán bộ dự án, cán bộ chương trình, cán bộ giám sát nghiên cứu 2024 (có thể đi làm sau tết)",doanh nghiệp xã hội hải đăng ,Thỏa thuận; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 19/1/2024,"Hành chính, Nhân sự; Khác",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTiêu chí tuyển dụngTốt nghiệp Đại học/Cao đẳng;Ưu tiên có kinh nghiệm triển khai, và/hoặc hỗ trợ các dự án cộng đồng (đặc biệt dành cho cộng đồng LGBTI+ hoặc/và chương trình can thiệp về HIV/AIDS, giảm hại sử dụng chất);Có kỹ năng biên soạn báo cáo hoạt động/ dự án bao gồm tiến độ, chỉ số, kết quả, tác động, mô tả trường hợp v.vCó kỹ năng giao tiếp và xây dựng mạng lưới tốt;Có khả năng thuyết trình và trình bày trước đám đông;Thành thạo sử dụng máy tính và phần mềm tin học (Word, Excel, PPT);Có khả năng làm việc độc lập, tự học hỏi và làm việc theo nhóm;Chủ động, trách nhiệm, nhiệt tình và hết mình trong công việc;Có thái độ thân thiện và tôn trọng với cộng đồng LGBTI+, người có nguy cơ và đang sống chung với HIV;Ưu tiên (Không bắt buộc)Ưu tiên tốt nghiệp một trong các ngành Y tế, Dược, Khoa học xã hội;Có đam mê làm việc về các vấn đề sức khoẻ cộng đồng, HIV/AIDS, Giảm hại sử dụng chất, sức khoẻ tình dục;Có kinh nghiệm tham gia vào các tiến trình vận động, góp ý chính sách;Có khả năng sử dụng tiếng Anh;Ứng viên thuộc cộng đồng LGBTI+ được khuyến khích ứng tuyển.",https://ybox.vn/tuyen-dung/hn-doanh-nghiep-xa-hoi-hai-dang-tuyen-dung-part-time-full-time-thuc-tap-sinh-tam-ly-tro-ly-chuong-trinh-ke-toan-hanh-chinh-can-bo-du-an-can-bo-chuong-trinh-can-bo-giam-sat-nghien-cuu-2024-co-the-di-lam-sau-tet-657fd3a177fc751676f9c5ff
